#Time;x(km);y(km);z(km);alt(km);relVel;dwnrng(km);Q(kPa);Fuel(tons);dV_tot;dV_grav;dv_drag;throttle;accel;aoa;aov;pitch;Cd;x(km);y(km);z(km);yaw;c_thrust;incl
169.10;-2741.218;-4630.557;3609.406; 101.380;2529.2;86.850;0.000;103.500;3973.715;  0.000;  0.000;0.0000;0.00;-0.41;39.19;38.77;0.200;-2683.912;-4664.005;3609.406;-90.85;0.000;33.852
170.10;-2742.473;-4632.620;3608.666; 102.974;2523.2;88.779;0.000;103.500;3973.715;  0.000;  0.000;0.0000;0.00;-0.25;39.04;38.79;0.200;-2684.801;-4666.280;3608.666;-90.85;0.000;33.835
171.10;-2743.724;-4634.677;3607.920; 104.558;2517.3;90.707;0.000;103.500;3973.715;  0.000;  0.000;0.0000;0.00;-0.08;38.89;38.81;0.200;-2685.686;-4668.548;3607.920;-90.86;0.000;33.817
172.10;-2744.971;-4636.727;3607.169; 106.134;2511.4;92.635;0.000;103.500;3973.715;  0.000;  0.000;0.0000;0.00;0.09;38.74;38.83;0.200;-2686.567;-4670.809;3607.169;-90.86;0.000;33.800
173.10;-2746.214;-4638.769;3606.413; 107.701;2505.5;94.561;0.000;103.500;3973.715;  0.000;  0.000;0.0000;0.00;0.26;38.58;38.84;0.200;-2687.444;-4673.063;3606.413;-90.87;0.000;33.783
174.10;-2747.454;-4640.805;3605.651; 109.258;2499.6;96.487;0.000;103.500;3973.715;  0.000;  0.000;0.0000;0.00;0.43;38.43;38.86;0.200;-2688.317;-4675.311;3605.651;-90.87;0.000;33.765
175.10;-2748.690;-4642.834;3604.884; 110.808;2493.8;98.411;0.000;103.500;3973.715;  0.000;  0.000;0.0000;0.00;0.60;38.28;38.88;0.200;-2689.186;-4677.551;3604.884;-90.88;0.000;33.748
176.10;-2749.923;-4644.856;3604.112; 112.348;2487.9;100.335;0.000;103.500;3973.715;  0.000;  0.000;0.0000;0.00;0.77;38.13;38.90;0.200;-2690.052;-4679.785;3604.112;-90.88;0.000;33.731
177.10;-2751.152;-4646.871;3603.335; 113.879;2482.3;102.258;0.000;103.486;3974.107;  0.000;  0.000;0.5000;0.40;1.02;37.97;38.99;0.200;-2690.913;-4682.012;3603.335;-90.89;0.000;33.714
178.10;-2752.378;-4648.881;3602.552; 115.403;2480.5;104.182;0.000;103.349;3978.023;  0.000;  0.000;0.5000;0.40;1.20;37.82;39.02;0.200;-2691.772;-4684.234;3602.552;-90.89;0.000;33.696
179.10;-2753.602;-4650.888;3601.762; 116.921;2478.6;106.107;0.000;103.212;3981.944;  0.000;  0.000;0.5000;0.40;1.37;37.66;39.04;0.200;-2692.628;-4686.452;3601.762;-90.90;0.000;33.679
180.10;-2754.825;-4652.890;3600.966; 118.432;2476.8;108.035;0.000;103.075;3985.870;  0.000;  0.000;0.5000;0.40;1.54;37.51;39.05;0.200;-2693.483;-4688.667;3600.966;-90.90;0.000;33.662
181.10;-2756.046;-4654.889;3600.164; 119.937;2475.0;109.965;0.000;102.938;3989.800;  0.000;  0.000;0.5000;0.40;1.71;37.36;39.07;0.200;-2694.335;-4690.878;3600.164;-90.91;0.000;33.644
182.10;-2757.265;-4656.884;3599.355; 121.435;2473.3;111.897;0.000;102.801;3993.735;  0.000;  0.000;0.5000;0.40;1.88;37.20;39.09;0.200;-2695.186;-4693.086;3599.355;-90.91;0.000;33.627
183.10;-2758.483;-4658.876;3598.540; 122.927;2471.6;113.832;0.000;102.664;3997.678;  0.000;  0.000;0.5071;0.41;2.05;37.05;39.10;0.200;-2696.034;-4695.290;3598.540;-90.92;0.000;33.610
184.10;-2759.698;-4660.863;3597.718; 124.413;2470.2;115.768;0.000;102.515;4001.974;  0.000;  0.000;0.5786;0.47;2.22;36.90;39.12;0.200;-2696.881;-4697.491;3597.718;-90.92;0.000;33.592
185.10;-2760.913;-4662.848;3596.890; 125.893;2469.4;117.707;0.000;102.346;4006.840;  0.000;  0.000;0.6500;0.52;2.40;36.74;39.14;0.200;-2697.726;-4699.688;3596.890;-90.93;0.000;33.575
186.10;-2762.126;-4664.830;3596.055; 127.368;2469.2;119.649;0.000;102.158;4012.279;  0.000;  0.000;0.7214;0.58;2.57;36.59;39.16;0.200;-2698.569;-4701.883;3596.055;-90.93;0.000;33.557
187.10;-2763.338;-4666.810;3595.213; 128.837;2469.6;121.595;0.000;101.950;4018.292;  0.000;  0.000;0.7929;0.64;2.73;36.44;39.17;0.200;-2699.412;-4704.076;3595.213;-90.94;0.000;33.540
188.10;-2764.550;-4668.788;3594.364; 130.301;2470.6;123.545;0.000;101.723;4024.884;  0.000;  0.000;0.8643;0.70;2.90;36.29;39.19;0.200;-2700.253;-4706.267;3594.364;-90.94;0.000;33.522
189.10;-2765.762;-4670.764;3593.508; 131.761;2472.2;125.499;0.000;101.476;4032.057;  0.000;  0.000;0.9357;0.76;3.07;36.14;39.21;0.200;-2701.094;-4708.457;3593.508;-90.95;0.000;33.505
190.10;-2766.973;-4672.740;3592.644; 133.217;2474.4;127.457;0.000;101.209;4039.811;  0.000;  0.000;1.0000;0.81;3.24;35.99;39.23;0.200;-2701.935;-4710.646;3592.644;-90.95;0.000;33.487
191.10;-2768.185;-4674.715;3591.773; 134.669;2476.9;129.421;0.000;100.935;4047.801;  0.000;  0.000;1.0000;0.82;3.40;35.84;39.24;0.200;-2702.776;-4712.835;3591.773;-90.96;0.000;33.470
192.10;-2769.397;-4676.690;3590.894; 136.118;2479.4;131.390;0.000;100.661;4055.822;  0.000;  0.000;1.0000;0.83;3.57;35.70;39.26;0.200;-2703.616;-4715.024;3590.894;-90.96;0.000;33.452
193.10;-2770.609;-4678.665;3590.008; 137.563;2482.1;133.364;0.000;100.388;4063.973;  0.000;  0.000;1.0000;0.83;3.73;35.55;39.28;0.200;-2704.457;-4717.213;3590.008;-90.97;0.000;33.434
194.10;-2771.822;-4680.639;3589.114; 139.004;2484.8;135.344;0.000;100.114;4072.143;  0.000;  0.000;1.0000;0.83;3.89;35.40;39.30;0.200;-2705.298;-4719.401;3589.114;-90.97;0.000;33.416
195.10;-2773.035;-4682.613;3588.213; 140.441;2487.6;137.329;0.000;99.840;4080.333;  0.000;  0.000;1.0000;0.84;4.06;35.26;39.31;0.200;-2706.138;-4721.590;3588.213;-90.98;0.000;33.399
196.10;-2774.249;-4684.587;3587.304; 141.876;2490.4;139.319;0.000;99.566;4088.542;  0.000;  0.000;1.0000;0.84;4.22;35.11;39.33;0.200;-2706.979;-4723.778;3587.304;-90.98;0.000;33.381
197.10;-2775.463;-4686.561;3586.387; 143.306;2493.3;141.315;0.000;99.292;4096.771;  0.000;  0.000;1.0000;0.84;4.38;34.97;39.35;0.200;-2707.820;-4725.967;3586.387;-90.99;0.000;33.363
198.10;-2776.677;-4688.535;3585.463; 144.733;2496.2;143.316;0.000;99.018;4105.020;  0.000;  0.000;1.0000;0.84;4.54;34.83;39.37;0.200;-2708.661;-4728.155;3585.463;-90.99;0.000;33.345
199.10;-2777.892;-4690.508;3584.531; 146.157;2499.1;145.323;0.000;98.744;4113.289;  0.000;  0.000;1.0000;0.84;4.70;34.68;39.39;0.200;-2709.503;-4730.343;3584.531;-91.00;0.000;33.327
200.10;-2779.107;-4692.481;3583.592; 147.577;2502.1;147.334;0.000;98.470;4121.578;  0.000;  0.000;1.0000;0.85;4.86;34.54;39.40;0.200;-2710.344;-4732.532;3583.592;-91.00;0.000;33.309
201.10;-2780.323;-4694.455;3582.644; 148.994;2505.1;149.352;0.000;98.196;4129.888;  0.000;  0.000;1.0000;0.85;4.89;34.40;39.29;0.200;-2711.185;-4734.720;3582.644;-91.00;0.000;33.291
